YEAR,MONTH,DATE,MonthlyMaximumTemperature,MonthlyMinimumTemperature,MonthlyMeanTemperature,AWND,CLDD,HTDD
2001,1,2001-01-31T23:59:00,59.3,32.9,46.1,5.6,4.0,591.0
2001,2,2001-02-28T23:59:00,69.8,47.3,58.6,5.8,18.0,187.0
2001,3,2001-03-31T23:59:00,67.4,45.9,56.7,7.6,12.0,262.0
2001,4,2001-04-30T23:59:00,79.5,53.7,66.6,5.8,116.0,69.0
2001,5,2001-05-31T23:59:00,86.5,60.3,73.4,5.1,261.0,0.0
2001,6,2001-06-30T23:59:00,88.8,68.9,78.9,5.1,416.0,0.0
2001,7,2001-07-31T23:59:00,93.2,72.0,82.6,4.9,528.0,0.0
2001,8,2001-08-31T23:59:00,91.7,71.5,81.6,4.7,481.0,0.0
2001,9,2001-09-30T23:59:00,85.2,64.2,74.7,4.7,298.0,7.0
2001,10,2001-10-31T23:59:00,78.2,50.4,64.3,5.4,83.0,106.0
2001,11,2001-11-30T23:59:00,76.9,48.9,62.9,5.1,49.0,112.0
2001,12,2001-12-31T23:59:00,66.5,42.9,54.7,5.1,13.0,332.0
2002,1,2002-01-31T23:59:00,63.2,39.2,51.2,5.4,10.0,437.0
2002,2,2002-02-28T23:59:00,62.5,37.0,49.8,5.8,0.0,427.0
2002,3,2002-03-31T23:59:00,74.0,45.4,59.7,6.3,54.0,219.0
2002,4,2002-04-30T23:59:00,82.4,59.8,71.1,6.0,184.0,19.0
2002,5,2002-05-31T23:59:00,87.4,61.9,74.7,6.9,312.0,12.0
2002,6,2002-06-30T23:59:00,90.0,69.7,79.9,5.4,445.0,0.0
2002,7,2002-07-31T23:59:00,92.5,71.6,82.1,4.7,528.0,0.0
2002,8,2002-08-31T23:59:00,91.5,71.0,81.3,5.4,503.0,0.0
2002,9,2002-09-30T23:59:00,89.2,70.4,79.8,6.9,444.0,0.0
2002,10,2002-10-31T23:59:00,80.2,62.5,71.4,5.1,230.0,32.0
2002,11,2002-11-30T23:59:00,66.7,42.7,54.7,5.1,21.0,332.0
2002,12,2002-12-31T23:59:00,60.2,36.5,48.4,5.8,1.0,519.0
2003,1,2003-01-31T23:59:00,59.4,32.5,46.0,6.7,3.0,593.0
2003,2,2003-02-28T23:59:00,63.8,39.5,51.7,6.0,0.0,373.0
2003,3,2003-03-31T23:59:00,72.0,51.8,61.9,6.0,42.0,138.0
2003,4,2003-04-30T23:59:00,78.4,54.0,66.2,5.8,99.0,63.0
2003,5,2003-05-31T23:59:00,86.0,64.2,75.1,6.0,313.0,0.0
2003,6,2003-06-30T23:59:00,88.4,69.7,79.1,4.9,421.0,0.0
2003,7,2003-07-31T23:59:00,89.5,71.7,80.6,4.7,467.0,0.0
2003,8,2003-08-31T23:59:00,89.8,72.4,81.1,3.8,498.0,0.0
2003,9,2003-09-30T23:59:00,86.0,65.4,75.7,5.4,281.0,2.0
2003,10,2003-10-31T23:59:00,80.0,56.1,68.1,4.7,112.0,18.0
2003,11,2003-11-30T23:59:00,74.8,47.6,61.2,5.6,71.0,184.0
2003,12,,60.36666666666667,32.7,46.766666666666666,5.820000000000001,0.0,547.0
2004,1,2004-01-31T23:59:00,61.8,33.9,47.9,5.4,4.0,528.0
2004,2,2004-02-29T23:59:00,59.5,39.3,49.4,7.2,0.0,451.0
2004,3,2004-03-31T23:59:00,76.5,48.3,62.4,6.5,41.0,122.0
2004,4,2004-04-30T23:59:00,79.7,50.2,65.0,5.8,86.0,88.0
2004,5,2004-05-31T23:59:00,88.8,64.5,76.7,5.6,330.0,5.0
2004,6,2004-06-30T23:59:00,89.9,70.9,80.4,4.7,447.0,0.0
2004,7,2004-07-31T23:59:00,92.9,72.4,82.7,4.5,493.0,0.0
2004,8,2004-08-31T23:59:00,90.9,71.8,81.4,4.5,508.0,0.0
2004,9,2004-09-30T23:59:00,85.2,69.1,77.2,9.4,353.0,0.0
2004,10,2004-10-31T23:59:00,81.6,61.2,71.4,4.3,207.0,9.0
2004,11,2004-11-30T23:59:00,72.9,49.7,61.3,6.0,58.0,169.0
2004,12,2004-12-31T23:59:00,62.0,38.0,50.0,5.6,18.0,485.0
2005,1,2005-01-31T23:59:00,64.1,41.8,53.0,6.3,6.0,378.0
2005,2,2005-02-28T23:59:00,66.0,43.8,54.9,6.3,14.0,297.0
2005,3,2005-03-31T23:59:00,69.0,44.9,57.0,6.9,21.0,270.0
2005,4,2005-04-30T23:59:00,76.0,50.6,63.3,6.5,35.0,86.0
2005,5,2005-05-31T23:59:00,84.8,60.0,72.4,5.1,232.0,3.0
2005,6,2005-06-30T23:59:00,89.0,71.5,80.3,5.4,457.0,0.0
2005,7,2005-07-31T23:59:00,93.8,76.4,85.1,4.9,578.0,0.0
2005,8,2005-08-31T23:59:00,91.6,74.5,83.1,4.9,559.0,0.0
2005,9,2005-09-30T23:59:00,92.1,69.7,80.9,5.8,477.0,0.0
2005,10,2005-10-31T23:59:00,80.4,57.2,68.8,5.4,198.0,80.0
2005,11,2005-11-30T23:59:00,74.2,48.0,61.1,5.8,45.0,162.0
2005,12,,60.666666666666664,35.766666666666666,48.43333333333333,6.013333333333332,1.0,498.0
2006,1,2006-01-31T23:59:00,68.1,44.4,56.3,6.9,11.0,281.0
2006,2,2006-02-28T23:59:00,63.6,38.7,51.2,6.0,0.0,387.0
2006,3,2006-03-31T23:59:00,74.2,46.1,60.2,6.7,41.0,191.0
2006,4,2006-04-30T23:59:00,84.5,57.4,71.0,6.5,193.0,13.0
2006,5,2006-05-31T23:59:00,87.5,62.0,74.8,6.0,307.0,4.0
