GEO.id,GEO.id2,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,block,tract,county,block_tract
Id,Id2,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force,Geography,,,
1500000US130079601001,130079601001,684,144,350,113,350,113,350,113,0,13,0,13,334,87,1,960100,Baker County,1_960100
1500000US130079601002,130079601002,1038,170,488,124,488,124,461,126,27,22,0,13,550,156,2,960100,Baker County,2_960100
1500000US130079602001,130079602001,450,129,262,106,262,106,262,106,0,13,0,13,188,70,1,960200,Baker County,1_960200
1500000US130079602002,130079602002,507,98,219,69,219,69,213,69,6,9,0,13,288,81,2,960200,Baker County,2_960200
1500000US130950001001,130950001001,475,275,282,195,282,195,282,195,0,13,0,13,193,138,1,100,Dougherty County,1_100
1500000US130950001002,130950001002,304,183,164,106,164,106,138,100,26,25,0,13,140,109,2,100,Dougherty County,2_100
1500000US130950001003,130950001003,491,189,261,124,261,124,181,95,80,67,0,13,230,104,3,100,Dougherty County,3_100
1500000US130950001004,130950001004,1177,370,881,286,881,286,778,274,103,86,0,13,296,204,4,100,Dougherty County,4_100
1500000US130950001005,130950001005,780,309,507,257,507,257,467,242,40,52,0,13,273,131,5,100,Dougherty County,5_100
1500000US130950002001,130950002001,568,265,284,184,284,184,206,125,78,96,0,13,284,116,1,200,Dougherty County,1_200
1500000US130950002002,130950002002,167,106,54,45,54,45,54,45,0,13,0,13,113,74,2,200,Dougherty County,2_200
1500000US130950002003,130950002003,1079,402,653,306,653,306,298,140,355,272,0,13,426,163,3,200,Dougherty County,3_200
1500000US130950002004,130950002004,318,169,111,94,111,94,71,60,40,51,0,13,207,111,4,200,Dougherty County,4_200
1500000US130950004001,130950004001,971,278,494,185,494,185,467,164,27,45,0,13,477,197,1,400,Dougherty County,1_400
1500000US130950004002,130950004002,1726,504,1187,389,1187,389,1049,364,138,103,0,13,539,243,2,400,Dougherty County,2_400
1500000US130950004003,130950004003,2303,449,1625,417,1608,417,1305,316,303,255,17,28,678,222,3,400,Dougherty County,3_400
1500000US130950005011,130950005011,2731,406,1967,377,1967,377,1782,353,185,143,0,13,764,208,1,501,Dougherty County,1_501
1500000US130950005012,130950005012,1477,270,1054,225,1037,228,974,205,63,56,17,28,423,171,2,501,Dougherty County,2_501
1500000US130950005021,130950005021,1262,366,787,219,760,221,731,227,29,33,27,36,475,191,1,502,Dougherty County,1_502
1500000US130950005022,130950005022,1109,285,699,232,699,232,668,205,31,59,0,13,410,107,2,502,Dougherty County,2_502
1500000US130950005023,130950005023,461,148,236,130,236,130,236,130,0,13,0,13,225,69,3,502,Dougherty County,3_502
1500000US130950005024,130950005024,774,159,445,144,445,144,437,141,8,12,0,13,329,89,4,502,Dougherty County,4_502
1500000US130950006001,130950006001,997,221,589,148,577,146,537,140,40,37,12,19,408,118,1,600,Dougherty County,1_600
1500000US130950006002,130950006002,1177,342,719,232,719,232,598,198,121,109,0,13,458,164,2,600,Dougherty County,2_600
1500000US130950007001,130950007001,1319,151,903,145,903,145,863,146,40,28,0,13,416,97,1,700,Dougherty County,1_700
1500000US130950008001,130950008001,589,142,280,94,280,94,191,77,89,45,0,13,309,99,1,800,Dougherty County,1_800
1500000US130950008002,130950008002,457,159,216,120,216,120,130,62,86,65,0,13,241,93,2,800,Dougherty County,2_800
1500000US130950009001,130950009001,935,181,573,151,573,151,454,119,119,78,0,13,362,80,1,900,Dougherty County,1_900
1500000US130950009002,130950009002,821,170,556,125,556,125,445,96,111,70,0,13,265,84,2,900,Dougherty County,2_900
1500000US130950010001,130950010001,512,168,318,139,318,139,259,115,59,52,0,13,194,73,1,1000,Dougherty County,1_1000
1500000US130950010002,130950010002,1402,211,910,207,910,207,651,163,259,130,0,13,492,167,2,1000,Dougherty County,2_1000
1500000US130950011001,130950011001,987,379,526,287,526,287,453,282,73,92,0,13,461,195,1,1100,Dougherty County,1_1100
1500000US130950011002,130950011002,674,358,340,212,340,212,269,141,71,114,0,13,334,203,2,1100,Dougherty County,2_1100
1500000US130950011003,130950011003,490,280,221,187,221,187,150,114,71,103,0,13,269,153,3,1100,Dougherty County,3_1100
1500000US130950011004,130950011004,812,242,543,210,543,210,448,179,95,120,0,13,269,117,4,1100,Dougherty County,4_1100
1500000US130950011005,130950011005,1509,382,732,278,732,278,616,231,116,110,0,13,777,246,5,1100,Dougherty County,5_1100
1500000US130950014031,130950014031,772,243,401,123,401,123,401,123,0,13,0,13,371,187,1,1403,Dougherty County,1_1403
1500000US130950014032,130950014032,1157,306,490,176,490,176,370,143,120,82,0,13,667,207,2,1403,Dougherty County,2_1403
1500000US130950015001,130950015001,577,177,298,136,298,136,245,115,53,53,0,13,279,113,1,1500,Dougherty County,1_1500
1500000US130950015002,130950015002,726,190,406,154,406,154,309,141,97,59,0,13,320,139,2,1500,Dougherty County,2_1500
1500000US130950015003,130950015003,404,120,205,79,205,79,193,79,12,21,0,13,199,84,3,1500,Dougherty County,3_1500
1500000US130950103021,130950103021,843,290,355,128,355,128,282,114,73,76,0,13,488,222,1,10302,Dougherty County,1_10302
1500000US130950103022,130950103022,878,274,402,126,402,126,289,124,113,79,0,13,476,242,2,10302,Dougherty County,2_10302
1500000US130950103023,130950103023,1421,537,200,105,200,105,161,83,39,43,0,13,1221,528,3,10302,Dougherty County,3_10302
1500000US130950103024,130950103024,562,187,358,150,358,150,256,98,102,80,0,13,204,100,4,10302,Dougherty County,4_10302
1500000US130950103025,130950103025,1317,353,844,279,844,279,675,245,169,98,0,13,473,141,5,10302,Dougherty County,5_10302
1500000US130950104011,130950104011,1678,359,1073,265,1073,265,1036,264,37,44,0,13,605,204,1,10401,Dougherty County,1_10401
1500000US130950104012,130950104012,2276,371,1453,344,1453,344,1385,328,68,73,0,13,823,280,2,10401,Dougherty County,2_10401
1500000US130950104013,130950104013,1598,265,1045,229,1045,229,1027,229,18,28,0,13,553,182,3,10401,Dougherty County,3_10401
1500000US130950104021,130950104021,2422,244,1448,208,1448,208,1328,224,120,77,0,13,974,219,1,10402,Dougherty County,1_10402
1500000US130950104031,130950104031,1253,136,763,109,763,109,731,104,32,24,0,13,490,85,1,10403,Dougherty County,1_10403
1500000US130950105001,130950105001,1245,308,677,197,677,197,533,134,144,110,0,13,568,163,1,10500,Dougherty County,1_10500
1500000US130950105002,130950105002,710,155,315,106,315,106,251,71,64,52,0,13,395,108,2,10500,Dougherty County,2_10500
1500000US130950106011,130950106011,715,143,362,128,362,128,208,60,154,107,0,13,353,83,1,10601,Dougherty County,1_10601
1500000US130950106012,130950106012,863,151,456,122,456,122,368,103,88,58,0,13,407,102,2,10601,Dougherty County,2_10601
1500000US130950106021,130950106021,1330,253,752,176,752,176,564,141,188,127,0,13,578,163,1,10602,Dougherty County,1_10602
1500000US130950106022,130950106022,1510,274,741,191,741,191,670,170,71,55,0,13,769,183,2,10602,Dougherty County,2_10602
1500000US130950107001,130950107001,1609,349,1021,294,1021,294,838,247,183,96,0,13,588,202,1,10700,Dougherty County,1_10700
1500000US130950107002,130950107002,693,180,306,138,306,138,206,117,100,75,0,13,387,107,2,10700,Dougherty County,2_10700
1500000US130950107003,130950107003,2394,453,1416,405,1416,405,962,311,454,205,0,13,978,203,3,10700,Dougherty County,3_10700
1500000US130950109001,130950109001,869,161,617,171,617,171,517,142,100,63,0,13,252,66,1,10900,Dougherty County,1_10900
1500000US130950109002,130950109002,512,147,329,107,329,107,283,95,46,44,0,13,183,70,2,10900,Dougherty County,2_10900
1500000US130950109003,130950109003,62,46,27,26,27,26,20,19,7,11,0,13,35,38,3,10900,Dougherty County,3_10900
1500000US130950110001,130950110001,832,168,490,142,490,142,405,114,85,59,0,13,342,115,1,11000,Dougherty County,1_11000
1500000US130950110002,130950110002,1068,169,561,140,561,140,498,123,63,47,0,13,507,131,2,11000,Dougherty County,2_11000
1500000US130950112001,130950112001,1398,231,819,186,819,186,486,126,333,135,0,13,579,135,1,11200,Dougherty County,1_11200
1500000US130950112002,130950112002,1177,306,731,216,731,216,561,169,170,111,0,13,446,136,2,11200,Dougherty County,2_11200
1500000US130950112003,130950112003,840,368,330,147,330,147,264,95,66,83,0,13,510,253,3,11200,Dougherty County,3_11200
1500000US130950113001,130950113001,2335,263,1101,241,1069,229,952,215,117,83,32,38,1234,200,1,11300,Dougherty County,1_11300
1500000US130950114001,130950114001,610,117,290,100,290,100,261,104,29,33,0,13,320,110,1,11400,Dougherty County,1_11400
1500000US130950114002,130950114002,436,116,114,51,106,50,74,45,32,38,8,14,322,110,2,11400,Dougherty County,2_11400
1500000US130950116001,130950116001,1203,160,674,133,674,133,616,121,58,39,0,13,529,88,1,11600,Dougherty County,1_11600
1500000US130950116002,130950116002,278,101,221,98,81,49,81,49,0,13,140,59,57,41,2,11600,Dougherty County,2_11600
1500000US131770201001,131770201001,1279,256,633,199,633,199,575,187,58,57,0,13,646,168,1,20100,Lee County,1_20100
1500000US131770201002,131770201002,1892,508,1284,385,1272,387,1124,321,148,109,12,19,608,210,2,20100,Lee County,2_20100
1500000US131770201003,131770201003,1861,384,1520,320,1520,320,1413,303,107,86,0,13,341,138,3,20100,Lee County,3_20100
1500000US131770202001,131770202001,1161,206,590,128,590,128,512,114,78,52,0,13,571,158,1,20200,Lee County,1_20200
1500000US131770203001,131770203001,2339,208,1415,200,1412,200,1375,195,37,36,3,5,924,145,1,20300,Lee County,1_20300
1500000US131770203002,131770203002,1233,283,734,202,734,202,718,200,16,24,0,13,499,144,2,20300,Lee County,2_20300
1500000US131770203003,131770203003,1290,213,282,126,282,126,264,127,18,26,0,13,1008,171,3,20300,Lee County,3_20300
1500000US131770204021,131770204021,1911,303,1311,251,1311,251,1215,243,96,71,0,13,600,196,1,20402,Lee County,1_20402
1500000US131770204022,131770204022,2946,433,2295,431,2295,431,2208,426,87,86,0,13,651,211,2,20402,Lee County,2_20402
1500000US131770204023,131770204023,704,278,552,224,552,224,472,182,80,93,0,13,152,112,3,20402,Lee County,3_20402
1500000US131770204024,131770204024,860,188,546,130,546,130,512,132,34,41,0,13,314,131,4,20402,Lee County,4_20402
1500000US131770204031,131770204031,4096,342,2894,298,2882,298,2602,249,280,169,12,21,1202,233,1,20403,Lee County,1_20403
1500000US131770204032,131770204032,764,235,513,195,513,195,513,195,0,13,0,13,251,99,2,20403,Lee County,2_20403
1500000US132731202001,132731202001,385,86,159,54,159,54,143,49,16,14,0,13,226,73,1,120200,Terrell County,1_120200
1500000US132731202002,132731202002,791,120,479,83,479,83,449,84,30,21,0,13,312,72,2,120200,Terrell County,2_120200
1500000US132731203001,132731203001,552,165,347,120,347,120,347,120,0,13,0,13,205,86,1,120300,Terrell County,1_120300
1500000US132731203002,132731203002,942,223,456,155,456,155,398,130,58,49,0,13,486,166,2,120300,Terrell County,2_120300
1500000US132731203003,132731203003,492,203,333,162,333,162,301,152,32,32,0,13,159,84,3,120300,Terrell County,3_120300
