geo_id,geo_id2,block_group,tract,county,block_tract,total_pop,total_inc,inc_less_10k,inc_10k_14999,inc_15k_19999,inc_20k_24999,inc_25k_29999,inc_30k_34999,inc_35k_39999,inc_40k_44999,inc_45k_49999,inc_50k_59999,inc_60k_74999,inc_75k_99999,inc_100k_124999,inc_125k_149999,inc_150k_199999,inc_200k_more,total_labor,total_in_laborforce,total_notin_laborforce,total_civil_labor,emp_civil_labor,unemp_civil_labor,total_armedforces,total_vacdata,total_occ_homes,total_vac_homes,total_ordata,total_owner,total_renter
1500000US130079601001,130079601001,1,960100,Baker County,1_960100,869,378,88,47,6,9,18,28,7,14,16,22,40,44,22,10,7,0,684,350,334,350,350,0,0,524,378,146,869,457,412
1500000US130079601002,130079601002,2,960100,Baker County,2_960100,1247,426,88,7,7,33,8,7,9,44,14,79,53,12,45,13,3,4,1038,488,550,488,461,27,0,595,426,169,1247,764,483
1500000US130079602001,130079602001,1,960200,Baker County,1_960200,487,224,0,7,7,27,13,26,0,5,25,36,27,30,0,0,0,21,450,262,188,262,262,0,0,298,224,74,487,386,101
1500000US130079602002,130079602002,2,960200,Baker County,2_960200,648,293,55,0,10,23,44,24,14,0,18,30,5,36,0,0,34,0,507,219,288,219,213,6,0,353,293,60,645,489,156
1500000US130950001001,130950001001,1,100,Dougherty County,1_100,669,280,0,0,0,9,50,13,15,88,35,26,44,0,0,0,0,0,475,282,193,282,282,0,0,433,280,153,669,452,217
1500000US130950001002,130950001002,2,100,Dougherty County,2_100,461,175,16,32,12,0,65,35,0,15,0,0,0,0,0,0,0,0,304,164,140,164,138,26,0,175,175,0,441,27,414
1500000US130950001003,130950001003,3,100,Dougherty County,3_100,933,329,121,0,28,62,16,25,27,19,0,31,0,0,0,0,0,0,491,261,230,261,181,80,0,397,329,68,931,104,827
1500000US130950001004,130950001004,4,100,Dougherty County,4_100,1444,714,135,51,103,136,60,0,46,0,53,63,0,55,12,0,0,0,1177,881,296,881,778,103,0,938,714,224,1426,141,1285
1500000US130950001005,130950001005,5,100,Dougherty County,5_100,959,407,90,37,10,13,17,131,0,13,20,8,11,13,0,0,44,0,780,507,273,507,467,40,0,493,407,86,959,312,647
1500000US130950002001,130950002001,1,200,Dougherty County,1_200,717,271,87,21,9,37,32,21,0,28,22,0,11,0,0,0,0,3,568,284,284,284,206,78,0,352,271,81,717,98,619
1500000US130950002002,130950002002,2,200,Dougherty County,2_200,167,101,8,9,0,30,16,0,0,13,8,0,17,0,0,0,0,0,167,54,113,54,54,0,0,170,101,69,167,64,103
1500000US130950002003,130950002003,3,200,Dougherty County,3_200,1561,470,79,111,43,62,67,20,10,23,0,29,10,10,6,0,0,0,1079,653,426,653,298,355,0,560,470,90,1561,221,1340
1500000US130950002004,130950002004,4,200,Dougherty County,4_200,609,164,77,9,26,0,16,9,2,12,0,8,5,0,0,0,0,0,318,111,207,111,71,40,0,244,164,80,592,136,456
1500000US130950004001,130950004001,1,400,Dougherty County,1_400,1293,575,65,51,75,88,47,33,22,0,11,34,36,92,0,7,0,14,971,494,477,494,467,27,0,738,575,163,1293,336,957
1500000US130950004002,130950004002,2,400,Dougherty County,2_400,2099,823,196,23,10,14,50,81,16,50,65,67,25,98,38,24,0,66,1726,1187,539,1187,1049,138,0,1027,823,204,2099,478,1621
1500000US130950004003,130950004003,3,400,Dougherty County,3_400,2727,1388,59,131,34,169,251,32,40,171,73,113,204,82,0,19,10,0,2303,1625,678,1608,1305,303,17,1542,1388,154,2727,520,2207
1500000US130950005011,130950005011,1,501,Dougherty County,1_501,3538,1412,0,25,47,101,11,158,109,124,0,215,143,218,60,81,75,45,2731,1967,764,1967,1782,185,0,1476,1412,64,3538,2032,1506
1500000US130950005012,130950005012,2,501,Dougherty County,2_501,1540,869,30,83,22,15,70,61,0,78,10,97,101,173,41,35,12,41,1477,1054,423,1037,974,63,17,880,869,11,1540,579,961
1500000US130950005021,130950005021,1,502,Dougherty County,1_502,1828,609,38,14,16,0,0,34,27,89,0,40,43,95,80,44,44,45,1262,787,475,760,731,29,27,668,609,59,1828,1286,542
1500000US130950005022,130950005022,2,502,Dougherty County,2_502,1324,522,25,36,8,7,0,24,82,8,0,54,17,10,95,68,63,25,1109,699,410,699,668,31,0,550,522,28,1324,1114,210
1500000US130950005023,130950005023,3,502,Dougherty County,3_502,600,237,6,0,0,7,15,37,29,4,4,54,16,8,16,0,19,22,461,236,225,236,236,0,0,237,237,0,591,591,0
1500000US130950005024,130950005024,4,502,Dougherty County,4_502,915,443,0,32,7,16,36,30,7,5,14,56,33,68,18,12,79,30,774,445,329,445,437,8,0,485,443,42,915,751,164
1500000US130950006001,130950006001,1,600,Dougherty County,1_600,1358,583,14,0,57,51,25,20,63,92,48,57,61,17,37,21,12,8,997,589,408,577,537,40,12,713,583,130,1358,576,782
1500000US130950006002,130950006002,2,600,Dougherty County,2_600,1429,606,100,34,28,30,85,83,131,0,11,58,26,11,0,9,0,0,1177,719,458,719,598,121,0,799,606,193,1429,172,1257
1500000US130950007001,130950007001,1,700,Dougherty County,1_700,1775,761,103,22,66,31,26,31,43,43,38,108,74,62,49,6,27,32,1319,903,416,903,863,40,0,933,761,172,1775,656,1119
1500000US130950008001,130950008001,1,800,Dougherty County,1_800,844,353,170,34,55,22,9,22,9,0,0,0,28,2,0,0,0,2,589,280,309,280,191,89,0,428,353,75,844,49,795
1500000US130950008002,130950008002,2,800,Dougherty County,2_800,571,209,95,12,0,15,26,15,0,0,10,0,28,8,0,0,0,0,457,216,241,216,130,86,0,298,209,89,452,107,345
1500000US130950009001,130950009001,1,900,Dougherty County,1_900,1126,413,87,25,35,21,27,12,35,25,32,40,37,12,10,5,5,5,935,573,362,573,454,119,0,543,413,130,1105,239,866
1500000US130950009002,130950009002,2,900,Dougherty County,2_900,1164,425,61,65,38,19,15,50,43,24,16,6,43,25,20,0,0,0,821,556,265,556,445,111,0,551,425,126,1164,289,875
1500000US130950010001,130950010001,1,1000,Dougherty County,1_1000,759,258,21,14,43,22,0,12,0,5,36,19,59,5,17,0,0,5,512,318,194,318,259,59,0,323,258,65,754,343,411
1500000US130950010002,130950010002,2,1000,Dougherty County,2_1000,1709,605,170,14,69,52,43,31,27,33,48,33,39,17,29,0,0,0,1402,910,492,910,651,259,0,701,605,96,1473,311,1162
