GEO.id,GEO.id2,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,block,tract,county,block_tract
Id,Id2,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant,Geography,,,
1500000US130079601001,130079601001,524,91,378,77,146,58,1,960100,Baker County,1_960100
1500000US130079601002,130079601002,595,94,426,71,169,68,2,960100,Baker County,2_960100
1500000US130079602001,130079602001,298,65,224,63,74,47,1,960200,Baker County,1_960200
1500000US130079602002,130079602002,353,69,293,64,60,40,2,960200,Baker County,2_960200
1500000US130950001001,130950001001,433,129,280,124,153,102,1,100,Dougherty County,1_100
1500000US130950001002,130950001002,175,98,175,98,0,13,2,100,Dougherty County,2_100
1500000US130950001003,130950001003,397,132,329,118,68,75,3,100,Dougherty County,3_100
1500000US130950001004,130950001004,938,194,714,180,224,131,4,100,Dougherty County,4_100
1500000US130950001005,130950001005,493,127,407,140,86,62,5,100,Dougherty County,5_100
1500000US130950002001,130950002001,352,102,271,107,81,64,1,200,Dougherty County,1_200
1500000US130950002002,130950002002,170,78,101,65,69,62,2,200,Dougherty County,2_200
1500000US130950002003,130950002003,560,118,470,119,90,63,3,200,Dougherty County,3_200
1500000US130950002004,130950002004,244,84,164,69,80,62,4,200,Dougherty County,4_200
1500000US130950004001,130950004001,738,176,575,155,163,103,1,400,Dougherty County,1_400
1500000US130950004002,130950004002,1027,177,823,172,204,125,2,400,Dougherty County,2_400
1500000US130950004003,130950004003,1542,195,1388,194,154,111,3,400,Dougherty County,3_400
1500000US130950005011,130950005011,1476,173,1412,186,64,70,1,501,Dougherty County,1_501
1500000US130950005012,130950005012,880,146,869,149,11,19,2,501,Dougherty County,2_501
1500000US130950005021,130950005021,668,114,609,119,59,63,1,502,Dougherty County,1_502
1500000US130950005022,130950005022,550,101,522,107,28,34,2,502,Dougherty County,2_502
1500000US130950005023,130950005023,237,54,237,54,0,13,3,502,Dougherty County,3_502
1500000US130950005024,130950005024,485,73,443,72,42,44,4,502,Dougherty County,4_502
1500000US130950006001,130950006001,713,107,583,107,130,90,1,600,Dougherty County,1_600
1500000US130950006002,130950006002,799,111,606,136,193,100,2,600,Dougherty County,2_600
1500000US130950007001,130950007001,933,50,761,70,172,57,1,700,Dougherty County,1_700
1500000US130950008001,130950008001,428,60,353,64,75,35,1,800,Dougherty County,1_800
1500000US130950008002,130950008002,298,68,209,66,89,39,2,800,Dougherty County,2_800
1500000US130950009001,130950009001,543,73,413,74,130,55,1,900,Dougherty County,1_900
1500000US130950009002,130950009002,551,65,425,61,126,51,2,900,Dougherty County,2_900
1500000US130950010001,130950010001,323,80,258,78,65,49,1,1000,Dougherty County,1_1000
1500000US130950010002,130950010002,701,68,605,79,96,61,2,1000,Dougherty County,2_1000
1500000US130950011001,130950011001,559,192,465,177,94,103,1,1100,Dougherty County,1_1100
1500000US130950011002,130950011002,468,169,325,137,143,128,2,1100,Dougherty County,2_1100
1500000US130950011003,130950011003,303,142,241,125,62,74,3,1100,Dougherty County,3_1100
1500000US130950011004,130950011004,629,141,558,141,71,77,4,1100,Dougherty County,4_1100
1500000US130950011005,130950011005,734,179,734,179,0,13,5,1100,Dougherty County,5_1100
1500000US130950014031,130950014031,671,101,472,110,199,89,1,1403,Dougherty County,1_1403
1500000US130950014032,130950014032,555,111,515,118,40,45,2,1403,Dougherty County,2_1403
1500000US130950015001,130950015001,496,100,339,99,157,75,1,1500,Dougherty County,1_1500
1500000US130950015002,130950015002,517,93,352,89,165,70,2,1500,Dougherty County,2_1500
1500000US130950015003,130950015003,438,97,307,85,131,84,3,1500,Dougherty County,3_1500
1500000US130950103021,130950103021,482,108,365,111,117,71,1,10302,Dougherty County,1_10302
1500000US130950103022,130950103022,488,108,468,109,20,30,2,10302,Dougherty County,2_10302
1500000US130950103023,130950103023,226,69,187,61,39,43,3,10302,Dougherty County,3_10302
1500000US130950103024,130950103024,270,65,234,68,36,43,4,10302,Dougherty County,4_10302
1500000US130950103025,130950103025,633,120,587,125,46,51,5,10302,Dougherty County,5_10302
1500000US130950104011,130950104011,810,143,789,150,21,34,1,10401,Dougherty County,1_10401
1500000US130950104012,130950104012,1045,158,1045,158,0,13,2,10401,Dougherty County,2_10401
1500000US130950104013,130950104013,819,134,819,134,0,13,3,10401,Dougherty County,3_10401
1500000US130950104021,130950104021,1423,98,1326,104,97,62,1,10402,Dougherty County,1_10402
1500000US130950104031,130950104031,702,62,618,66,84,50,1,10403,Dougherty County,1_10403
1500000US130950105001,130950105001,578,81,517,93,61,51,1,10500,Dougherty County,1_10500
1500000US130950105002,130950105002,371,58,331,59,40,40,2,10500,Dougherty County,2_10500
1500000US130950106011,130950106011,577,64,396,57,181,53,1,10601,Dougherty County,1_10601
1500000US130950106012,130950106012,585,63,478,61,107,43,2,10601,Dougherty County,2_10601
1500000US130950106021,130950106021,767,121,662,123,105,70,1,10602,Dougherty County,1_10602
1500000US130950106022,130950106022,794,110,746,111,48,50,2,10602,Dougherty County,2_10602
1500000US130950107001,130950107001,943,145,859,152,84,74,1,10700,Dougherty County,1_10700
1500000US130950107002,130950107002,463,103,417,90,46,57,2,10700,Dougherty County,2_10700
1500000US130950107003,130950107003,675,159,619,149,56,63,3,10700,Dougherty County,3_10700
1500000US130950109001,130950109001,481,71,427,78,54,46,1,10900,Dougherty County,1_10900
1500000US130950109002,130950109002,236,51,209,53,27,32,2,10900,Dougherty County,2_10900
1500000US130950109003,130950109003,72,41,44,36,28,22,3,10900,Dougherty County,3_10900
1500000US130950110001,130950110001,558,91,465,88,93,70,1,11000,Dougherty County,1_11000
1500000US130950110002,130950110002,647,94,546,80,101,76,2,11000,Dougherty County,2_11000
1500000US130950112001,130950112001,402,76,392,77,10,16,1,11200,Dougherty County,1_11200
1500000US130950112002,130950112002,623,116,540,119,83,63,2,11200,Dougherty County,2_11200
1500000US130950112003,130950112003,388,86,285,76,103,81,3,11200,Dougherty County,3_11200
1500000US130950113001,130950113001,1227,73,991,99,236,96,1,11300,Dougherty County,1_11300
1500000US130950114001,130950114001,427,60,375,59,52,43,1,11400,Dougherty County,1_11400
1500000US130950114002,130950114002,181,51,103,41,78,46,2,11400,Dougherty County,2_11400
1500000US130950116001,130950116001,649,64,564,61,85,45,1,11600,Dougherty County,1_11600
1500000US130950116002,130950116002,136,59,128,59,8,11,2,11600,Dougherty County,2_11600
1500000US131770201001,131770201001,829,154,758,155,71,77,1,20100,Lee County,1_20100
1500000US131770201002,131770201002,863,192,863,192,0,13,2,20100,Lee County,2_20100
1500000US131770201003,131770201003,915,190,907,187,8,15,3,20100,Lee County,3_20100
1500000US131770202001,131770202001,700,69,562,87,138,55,1,20200,Lee County,1_20200
1500000US131770203001,131770203001,1114,139,1053,130,61,43,1,20300,Lee County,1_20300
1500000US131770203002,131770203002,616,129,558,126,58,56,2,20300,Lee County,2_20300
1500000US131770203003,131770203003,250,94,195,64,55,83,3,20300,Lee County,3_20300
1500000US131770204021,131770204021,1013,168,962,154,51,73,1,20402,Lee County,1_20402
1500000US131770204022,131770204022,1478,226,1478,226,0,13,2,20402,Lee County,2_20402
1500000US131770204023,131770204023,447,139,367,130,80,88,3,20402,Lee County,3_20402
1500000US131770204024,131770204024,464,86,464,86,0,13,4,20402,Lee County,4_20402
1500000US131770204031,131770204031,1888,134,1851,137,37,46,1,20403,Lee County,1_20403
1500000US131770204032,131770204032,300,78,274,70,26,42,2,20403,Lee County,2_20403
1500000US132731202001,132731202001,287,53,217,47,70,35,1,120200,Terrell County,1_120200
1500000US132731202002,132731202002,491,59,338,57,153,50,2,120200,Terrell County,2_120200
1500000US132731203001,132731203001,354,93,294,73,60,68,1,120300,Terrell County,1_120300
1500000US132731203002,132731203002,558,120,426,103,132,89,2,120300,Terrell County,2_120300
1500000US132731203003,132731203003,271,94,173,59,98,90,3,120300,Terrell County,3_120300
1500000US132731203004,132731203004,291,76,204,71,87,71,4,120300,Terrell County,4_120300
1500000US132731204001,132731204001,489,100,428,94,61,58,1,120400,Terrell County,1_120400
1500000US132731204002,132731204002,320,70,320,70,0,13,2,120400,Terrell County,2_120400
1500000US132731204003,132731204003,465,105,313,72,152,82,3,120400,Terrell County,3_120400
1500000US132731205001,132731205001,651,63,577,64,74,35,1,120500,Terrell County,1_120500
1500000US133219501001,133219501001,664,111,459,113,205,89,1,950100,Worth County,1_950100
1500000US133219501002,133219501002,766,110,656,115,110,76,2,950100,Worth County,2_950100
1500000US133219502001,133219502001,638,146,638,146,0,13,1,950200,Worth County,1_950200
1500000US133219502002,133219502002,935,169,799,171,136,117,2,950200,Worth County,2_950200
1500000US133219502003,133219502003,632,170,585,166,47,72,3,950200,Worth County,3_950200
1500000US133219502004,133219502004,707,204,661,199,46,67,4,950200,Worth County,4_950200
1500000US133219504001,133219504001,733,124,616,120,117,50,1,950400,Worth County,1_950400
1500000US133219504002,133219504002,378,106,262,84,116,80,2,950400,Worth County,2_950400
1500000US133219504003,133219504003,304,76,255,65,49,55,3,950400,Worth County,3_950400
1500000US133219504004,133219504004,549,103,440,82,109,64,4,950400,Worth County,4_950400
1500000US133219505001,133219505001,925,143,695,126,230,97,1,950500,Worth County,1_950500
1500000US133219505002,133219505002,510,119,487,111,23,39,2,950500,Worth County,2_950500
1500000US133219505003,133219505003,565,131,492,132,73,55,3,950500,Worth County,3_950500
1500000US133219506001,133219506001,590,75,542,76,48,37,1,950600,Worth County,1_950600
1500000US133219506002,133219506002,420,72,312,62,108,55,2,950600,Worth County,2_950600
