,Address,PlanYear,Project,IDISProjectId,IDISActivityID,Status,StatusDate,InitialFundingDate,FundedAmount,Description
0,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,34,Completed,9/25/1999,07/01/1993,6631.38,PROGRAM TO INSTALL A RAMP AND GRAB BARS FOR DISABLED PERSONSWHO QUALIFY AS LOW TO MODERATE INCOME.
1,302 ADKINS ST,1996,PUBLIC SERVICE,28,90,Completed,3/31/2000,11/25/1996,9142.0,TO PROVIDE RENTAL ASSISTANCE.
2,2023 MARTIN LUTHER KING JR DR,1996,PUBLIC SERVICE,32,92,Completed,3/31/2000,09/20/1996,13889.37, 
3,UNKNOWN ADDRESS,1995,PUBLIC SERVICE,5,105,Completed,9/19/2001,07/01/1995,48271.78,PARTENTING AND SOCIAL SKILL CLASSES BY ASU SCHOOL OF SOCIAL WORK- INCORPORATE PARENTING AND SOCIAL SKILL CLASSES TO BECOME CERTIFIED CHILD CARE PROVIDERS.
4,UNKNOWN ADDRESS,1996,ACQUISITION,1,132,Completed,8/3/2000,07/01/1996,72341.83,THE ACQUISITION OF PROPERTIES FOR REDEVELOPMENT OF THE AREA.
5,UNKNOWN ADDRESS,1996,RELOCATION,20,135,Completed,3/23/2002,07/01/1996,7058.63,RELOCATION OF PERSONS AND PAYMENT TO PERSONS WHO WERE RELOCATED.
6,UNKNOWN ADDRESS,1996,REHABILITATION,6,136,Completed,9/25/1999,07/01/1996,20840.0,THE REHABILITATION OF RENTAL HOUSING BY INVESTOR.
7,1100 CLARK AVE,1996,ECONOMIC DEVELOPMENT LOANS,36,142,Completed,9/29/1999,07/01/1996,55294.2,A FIXED-ASSET LOAN TO SUTTON FOR ACQUISITION OF EQUIPMENT AND INVENTORY.
8,UNKNOWN ADDRESS,1996,ECONOMIC DEVELOPMENT LOANS,37,144,Completed,9/25/1999,07/01/1996,9163.01,COMMERCIAL FACADE PROGRAM
9,UNKNOWN ADDRESS,1997,DEMOLITION,2,151,Completed,9/19/2000,07/01/1997,124382.66,THE DEMOLITION OF SUBSTANDARD STRUCTURES.
10,230 S JACKSON ST,1997,ECONOMIC DEVELOPMENT,3,152,Completed,9/19/2000,07/01/1997,161259.64, 
11,230 S JACKSON ST,1997,ECONOMIC DEVELOPMENT,3,153,Canceled,5/9/2001,07/01/1997,0.0,A BUSINESS CENTER TO ASSIST MINORITY AND SMALL BUSINESSES.
12,230 S JACKSON ST,1997,ECONOMIC DEVELOPMENT,3,154,Completed,6/11/2001,07/01/1997,129455.88,THE DEVELOPMENT OF A CDC FOR THE ADMINISTRATION OF ECONOMIC DEVELOPMENT LOANS PROGRAM.
13,UNKNOWN ADDRESS,1997,ECONOMIC DEVELOPMENT,3,155,Completed,8/3/2000,07/01/1997,199999.9,A PROGRAM TO PROVIDE SUMMER EMPLOYMENT OPPORTUNITIES FORYOUTH 16 TO 19 YEARS OF AGE FROM LOW AND MODERATE INCOMEFAMILIES.
14,230 S JACKSON ST,1997,ECONOMIC DEVELOPMENT,3,156,Completed,9/25/1999,07/01/1997,185117.49,THE OPERATION OF THE BUSINESS AND TECHNOLOGY CENTER WHICH PROVIDES AN INCUBATOR FACILITIES FOR SMALL BUSINESSES.
