Id,Address,Xcoord,Ycoord,Tract,BlockGroup,Block
1,525 LINCOLN AVE,31.569465899999997,-84.1611752,1500.0,1.0,12.0
4,509 W GORDON AVE,31.5685538,-84.15977209999998,1500.0,1.0,17.0
20,118 BLAYLOCK ST,31.5776695,-84.1248984,200.0,1.0,25.0
23,2632 ERICA CT,31.569245000000002,-84.22024470000001,1000.0,2.0,10.0
30,235 BONNY VIEW AVE,31.5778973,-84.1210834,200.0,1.0,24.0
33,1200 AUGUSTA,31.558701,-84.203245,1100.0,5.0,36.0
46,1705 E BROAD AVE,31.5756539,-84.1060051,100.0,3.0,16.0
50,1001 RADIUM SPRINGS RD,31.559880699999997,-84.1398564,10700.0,3.0,23.0
56,109 W BROAD AVE,31.5771999,-84.1492355,11400.0,2.0,3.0
65,252 BONNY VIEW AVE,31.5778717,-84.1423076,200.0,3.0,0.0
66,243 BONNY VIEW AVE,31.578038399999997,-84.14285129999999,200.0,3.0,0.0
67,247 BONNY VIEW AVE,31.578241,-84.142647,200.0,3.0,0.0
68,248 BONNY VIEW AVE,31.5778973,-84.1210834,200.0,1.0,24.0
69,251 BONNY VIEW AVE,31.5783412,-84.14234520000001,200.0,3.0,0.0
71,2530 STUART AVE,31.613315399999998,-84.21352159999999,400.0,2.0,6.0
74,4805 HILL ROAD,31.576627600000002,-84.031371,11200.0,1.0,44.0
76,2448 BROADWAY CT,31.5788994,-84.1424263,200.0,3.0,0.0
77,248 BROADWAY CT,31.578836300000003,-84.1425474,200.0,3.0,0.0
82,604 W 4TH AVE,31.5910988,-84.1625105,700.0,1.0,66.0
93,311 S SLAPPEY BLVD,31.5732593,-84.1773152,1100.0,1.0,15.0
94,3353 TWINFLOWER RD,31.514423999999998,-84.1553239,10602.0,1.0,7.0
96,405 THORNTON DR,31.569282899999997,-84.1077878,100.0,4.0,16.0
98,100 BROADWAY CT,31.5788994,-84.1424263,200.0,3.0,0.0
100,605 N WESTOVER BLVD,31.6096068,-84.2238452,501.0,2.0,2.0
102,4108 RADIUM SPRINGS RD,31.4827613,-84.1281415,11000.0,1.0,20.0
